id,school_level,grade,term,exam_type,category1,category2,category3,importance,japanese,english,phonetic,example,pos_code,pos_full,pos_j,antonym,antonym_jp,note
98,junior,2,2,final,PROGRAM5,Part3,眠って,asleep,/əˈsliːp/,The baby is asleep.,形,adjective,形容詞,awake,目覚めて,“fall asleep”＝眠りに落ちる。,,
99,junior,2,2,final,PROGRAM5,Part3,1.0,与えた（過去形）,gave,/ɡeɪv/,He gave me a gift.,動,verb,動詞,took,取った,giveの過去形。,
100,junior,2,2,final,PROGRAM5,Part3,感謝の,thank-you,/ˈθæŋk juː/,She wrote a thank-you letter.,形,adjective,形容詞,—,—,形容詞的に使う感謝表現。,,
101,junior,2,2,final,PROGRAM5,Part3,1.0,教えた（過去形）,taught,/tɔːt/,He taught us English.,動,verb,動詞,learned,学んだ,teachの過去形。,
102,junior,2,2,final,PROGRAM5,Part3,"重要性,大切さ",importance,/ɪmˈpɔː.təns/,The importance of kindness is great.,名,noun,名詞,triviality,些細なこと,“important”から派生した名詞。,,
103,junior,2,2,final,PROGRAM5,Part3,1.0,将来,future,/ˈfjuː.tʃər/,Think about your future.,名,noun,名詞,past,過去,“in the near future”で「近い将来」。,
104,junior,2,2,final,PROGRAM5,Part3,1.0,〜を散歩に連れて行く,take ~ for a walk,/teɪk fə ə wɔːk/,I take my dog for a walk.,句,phrase,句,—,—,「take A for a walk」でAを散歩に連れて行く。,
105,junior,2,2,final,PROGRAM5,Part3,1.0,しばらくして,after a while,/ˈæf.tər ə waɪl/,"After a while, it stopped raining.",句,phrase,句,immediately,すぐに,時間経過を表す副詞句。,
106,junior,2,2,final,PROGRAM5,Part3,1.0,眠りに落ちる,fall asleep,/fɔːl əˈsliːp/,I fell asleep quickly.,句,phrase,句,wake up,目覚める,「go to sleep」とほぼ同義。,
107,junior,2,2,final,PROGRAM5,Part3,1.0,〜を活用する,make use of,/meɪk juːs əv/,We made use of old materials.,句,phrase,句,waste,無駄にする,「use」の名詞形を用いた熟語。,
108,junior,2,2,final,PROGRAM5,Action,1.0,断片,piece,/piːs/,I found a missing piece of the puzzle.,名,noun,名詞,whole,全体,可算名詞。a piece of cake（簡単なこと）も有名。,
109,junior,2,2,final,PROGRAM5,Action,はちみつ,honey,/ˈhʌn.i/,Bees make honey.,名,noun,名詞,—,—,「sweetheart」などの愛称としても使う。,,
110,junior,2,2,final,PROGRAM5,Action,"熱,暑さ",heat,/hiːt/,The heat was intense.,名,noun,名詞,cold,寒さ,動詞では「加熱する」。,,
111,junior,2,2,final,PROGRAM5,Action,1.0,カメラ,camera,/ˈkæm.rə/,I bought a new camera.,名,noun,名詞,—,—,語源はラテン語「部屋」。camera＝暗箱。,
112,junior,2,2,final,PROGRAM5,Action,釣り合い,balance,/ˈbæl.əns/,Keep your balance while walking.,名,noun,名詞,imbalance,不均衡,「bank balance（残高）」の意味も。,,
113,junior,2,2,final,PROGRAM5,Action,"閃光,フラッシュ",flash,/flæʃ/,The camera flash was bright.,名,noun,名詞,darkness,暗闇,動詞で「光る」。形容詞「flashy＝派手な」。,,
114,junior,2,2,final,PROGRAM5,Action,流行の,fashionable,/ˈfæʃ.ən.ə.bəl/,She is very fashionable.,形,adjective,形容詞,old-fashioned,時代遅れの,“fashion”＋able。「流行を取り入れた」。,,
115,junior,2,2,final,PROGRAM5,Action,きちんと整理した,tidy,/ˈtaɪ.di/,Her room is always tidy.,形,adjective,形容詞,messy,散らかった,英では「清潔で整った」の意味。,,
116,junior,2,2,final,PROGRAM5,Action,ゆっくりと,slowly,/ˈsləʊ.li/,He walked slowly to the station.,副,adverb,副詞,quickly,速く,形容詞slowに-lyを付けた副詞。,,
117,junior,2,2,final,PROGRAM5,Action,1.0,試しにやってごらん。,Give it a try.,/ɡɪv ɪt ə traɪ/,Give it a try—you can do it!,句,phrase,句,—,—,励まし表現。“try it”より丁寧。,
118,junior,2,2,final,PROGRAM5,Action,1.0,〜になった,became,/bɪˈkeɪm/,He became a doctor.,動,verb,動詞,remained,〜のままだった,becomeの過去形。,
119,junior,2,2,final,PROGRAM5,Action,1.0,送る,send,/send/,Please send me a postcard.,動,verb,動詞,receive,受け取る,“send to〜”で「〜に送る」。,
120,junior,2,2,final,PROGRAM5,Action,はがき,postcard,/ˈpoʊst.kɑːd/,I sent her a postcard.,名,noun,名詞,—,—,post（郵便）＋card（カード）。,,
121,junior,2,2,final,Reading1,"贈り物,才能",gift,/ɡɪft/,I received a beautiful gift from her.,名,noun,名詞,return,返礼する,「gift」は“与えられるもの”。才能の意味でも使われる。,,,
122,junior,2,2,final,Reading1,1.0,到着する,arrive,/əˈraɪv/,We arrived at the airport at noon.,動,verb,動詞,depart,出発する,前置詞は“at”や“in”をとる点に注意。,,
123,junior,2,2,final,Reading1,王,king,/kɪŋ/,The king ruled the country wisely.,名,noun,名詞,queen,女王,トランプでも「King」は13の札を指す。,,,
124,junior,2,2,final,Reading1,パズル,puzzle,/ˈpʌz.əl/,This puzzle is difficult to solve.,名,noun,名詞,answer,答え,動詞では「混乱させる」。,,,
125,junior,2,2,final,Reading1,1.0,ずっと昔に,a long time ago,/ə lɔːŋ taɪm əˈɡoʊ/,"A long time ago, there lived a king.",句,phrase,句,recently,最近,「昔々に〜」と物語の始まりに使われる定番句。,,
126,junior,2,2,final,Reading1,～ の内側に,inside,/ɪnˈsaɪd/,The cat is inside the box.,前,preposition,前置詞,outside,外側に,副詞・形容詞としても使える多義語。,,,
127,junior,2,2,final,Reading1,1.0,伝言,message,/ˈmes.ɪdʒ/,I left a message on his phone.,名,noun,名詞,silence,沈黙,「email message」や「text message」にも使う。,,
128,junior,2,2,final,Reading1,1.0,言う＜過去形、過去分詞＞,said,/sed/,He said he was tired.,動,verb,動詞,—,—,sayの過去形・過去分詞。発音は「セッド」。,,
129,junior,2,2,final,Reading1,1.0,注意深く,carefully,/ˈkeə.fəl.i/,Please listen carefully.,副,adverb,副詞,carelessly,不注意に,形容詞carefulの副詞形。,,
130,junior,2,2,final,Reading1,"いちばん下,底",bottom,/ˈbɒt.əm/,There’s a coin at the bottom of the box.,名,noun,名詞,top,上部,「at the bottom of～」で「〜の下に」。,,,
131,junior,2,2,final,Reading1,完全に,completely,/kəmˈpliːt.li/,The room was completely silent.,副,adverb,副詞,partly,部分的に,complete（完全な）の副詞形。,,,
132,junior,2,2,final,Reading1,しる＜過去形＞,knew,/njuː/,I knew the answer.,動,verb,動詞,—,—,knowの過去形。「knew how to〜」で「〜の仕方を知っていた」。,,,
133,junior,2,2,final,Reading1,1.0,できるの過去形,could,/kʊd/,I could swim when I was five.,動,verb,動詞,couldn’t,できなかった,canの過去形。可能・丁寧依頼にも使う。,,
134,junior,2,2,final,Reading1,短縮形,couldn't,/ˈkʊd.ənt/,I couldn’t hear you well.,短,contraction,短縮形,could,できた,“could not”の短縮形。発音は“クドゥント”。,,,
135,junior,2,2,final,Reading1,彼自身,himself,/hɪmˈself/,He did it himself.,代,pronoun,代名詞,—,—,再帰代名詞。“He himself〜”で強調もできる。,,,
136,junior,2,2,final,Reading1,1.0,たずねる,ask,/æsk/,He asked me a question.,動,verb,動詞,answer,答える,「ask for〜」で「〜を求める」。,,
137,junior,2,2,final,Reading1,1.0,思うの過去形、過去分詞,thought,/θɔːt/,I thought it was true.,動,verb,動詞,—,—,thinkの過去形・過去分詞。,,
138,junior,2,2,final,Reading1,深く,deeply,/ˈdiːp.li/,She deeply loves her family.,副,adverb,副詞,shallowly,浅く,感情・感謝などを強調する時によく使う。,,,
139,junior,2,2,final,Reading1,いくらかの間,while,/waɪl/,Please wait here for a while.,名,noun,名詞,moment,瞬間,接続詞でも「〜の間に」の意味。,,,
140,junior,2,2,final,Reading1,"ゆえに,したがって",therefore,/ˈðeə.fɔːr/,"He was sick; therefore, he stayed home.",副,adverb,副詞,nevertheless,それにもかかわらず,論理的な結果を示す接続副詞。,,,
141,junior,2,2,final,Reading1,1.0,しばらくの間,for a while,/fɔːr ə waɪl/,I stayed there for a while.,句,phrase,句,soon,すぐに,「しばらくの間」＝“for＋期間”。,,
142,junior,2,2,final,Reading1,針金,wire,/waɪər/,The fence is made of wire.,名,noun,名詞,cord,ひも,動詞では「配線する」。,,,
143,junior,2,2,final,Reading1,押す,push,/pʊʃ/,Please push the button.,動,verb,動詞,pull,引く,ドアの表示でもよく使われる基本動詞。,,,
144,junior,2,2,final,Reading1,1.0,～から外へ,out of ~,/aʊt əv/,He ran out of the room.,句,phrase,句,into,〜の中へ,「〜から出る」動作を示す前置詞句。,,
145,junior,2,2,final,Reading1,1.0,"心,頭,精神<思考を司る>",mind,/maɪnd/,I can’t make up my mind.,名,noun,名詞,body,体,「make up one’s mind」で「決心する」。,,
146,junior,2,2,final,Reading1,噂話＜他人の＞,gossip,/ˈɡɒs.ɪp/,Don’t believe that gossip.,名,noun,名詞,fact,事実,動詞では「うわさ話をする」。,,,
147,junior,2,2,final,Reading1,1.0,知らせ,news,/njuːz/,I have good news for you.,名,noun,名詞,—,—,不可算名詞。常に単数形で扱う。,,
148,junior,2,2,final,Reading1,"教訓,稽古",lesson,/ˈles.ən/,I learned an important lesson.,名,noun,名詞,—,—,「授業」「教訓」どちらの意味もある。,,,
149,junior,2,2,final,Reading1,"秘密,秘訣",secret,/ˈsiː.krət/,I’ll tell you a secret.,名,noun,名詞,open,公開された,「keep a secret」＝秘密を守る。,,,
150,junior,2,2,final,Reading1,1.0,"貧しい,乏しい",poor,/pʊər/,He is poor but happy.,形,adjective,形容詞,rich,裕福な,経済的以外にも「質が悪い」意味で使われる。,,
